name,detector type,wavelength units,central wavelength,pivot wavelength,effective wavelength,Vega mag,Vega flux,Vega Jy,AB mag,AB flux,AB Jy,ST mag,ST flux,ST Jy
JWST_NIRCAM_F150W,photon,um,1.504,1.501,1.481,24.49485,1.5924e-10,1196.4,23.28950,4.8328e-10,3630.8,21.10000,3.6308e-09,27277
JWST_NIRCAM_F150W2,photon,um,1.704,1.659,1.399,24.73338,1.2783e-10,1173.3,23.50694,3.9557e-10,3630.8,21.10000,3.6308e-09,33326
JWST_NIRCAM_F162M,photon,um,1.628,1.627,1.623,24.81694,1.1837e-10,1045.5,23.46523,4.1106e-10,3630.8,21.10000,3.6308e-09,32069
JWST_NIRCAM_F164N,photon,um,1.645,1.645,1.645,24.88010,1.1168e-10,1007.5,23.48824,4.0244e-10,3630.8,21.10000,3.6308e-09,32756
JWST_NIRCAM_F182M,photon,um,1.847,1.845,1.836,25.29601,7.6137e-11,864.66,23.73813,3.197e-10,3630.8,21.10000,3.6308e-09,41234
JWST_NIRCAM_F187N,photon,um,1.874,1.874,1.874,25.39575,6.9455e-11,813.52,23.77167,3.0998e-10,3630.8,21.10000,3.6308e-09,42527
JWST_NIRCAM_F200W,photon,um,1.993,1.989,1.959,25.57670,5.8792e-11,775.55,23.90073,2.7524e-10,3630.8,21.10000,3.6308e-09,47895
JWST_NIRCAM_F210M,photon,um,2.096,2.095,2.089,25.79468,4.8098e-11,704.47,24.01433,2.4789e-10,3630.8,21.10000,3.6308e-09,53178
JWST_NIRCAM_F212N,photon,um,2.121,2.121,2.120,25.84193,4.605e-11,691.14,24.04085,2.4191e-10,3630.8,21.10000,3.6308e-09,54493
JWST_NIRCAM_F250M,photon,um,2.504,2.503,2.500,26.51716,2.4725e-11,516.9,24.40067,1.7367e-10,3630.8,21.10000,3.6308e-09,75905
JWST_NIRCAM_F277W,photon,um,2.769,2.762,2.713,26.90314,1.7328e-11,440.89,24.61397,1.427e-10,3630.8,21.10000,3.6308e-09,92382
JWST_NIRCAM_F300M,photon,um,2.991,2.989,2.979,27.23895,1.2718e-11,379.08,24.78576,1.2181e-10,3630.8,21.10000,3.6308e-09,1.0822e+05
JWST_NIRCAM_F322W2,photon,um,3.267,3.232,3.007,27.48832,1.0108e-11,352.21,24.95531,1.042e-10,3630.8,21.10000,3.6308e-09,1.2651e+05
JWST_NIRCAM_F323N,photon,um,3.237,3.237,3.237,27.56484,9.4203e-12,329.24,24.95861,1.0389e-10,3630.8,21.10000,3.6308e-09,1.2689e+05
JWST_NIRCAM_F335M,photon,um,3.364,3.362,3.350,27.72286,8.1444e-12,307.1,25.04105,9.629e-11,3630.8,21.10000,3.6308e-09,1.3691e+05
JWST_NIRCAM_F356W,photon,um,3.577,3.568,3.512,27.95716,6.5635e-12,278.78,25.17030,8.5483e-11,3630.8,21.10000,3.6308e-09,1.5421e+05
JWST_NIRCAM_F360M,photon,um,3.626,3.624,3.611,28.03569,6.1056e-12,267.51,25.20403,8.2869e-11,3630.8,21.10000,3.6308e-09,1.5908e+05
JWST_NIRCAM_F405N,photon,um,4.052,4.052,4.052,28.52767,3.8809e-12,212.52,25.44615,6.6304e-11,3630.8,21.10000,3.6308e-09,1.9882e+05
JWST_NIRCAM_F410M,photon,um,4.084,4.082,4.068,28.53481,3.8555e-12,214.31,25.46244,6.5317e-11,3630.8,21.10000,3.6308e-09,2.0183e+05
JWST_NIRCAM_F430M,photon,um,4.282,4.281,4.277,28.73640,3.2021e-12,195.77,25.56577,5.9387e-11,3630.8,21.10000,3.6308e-09,2.2198e+05
JWST_NIRCAM_F444W,photon,um,4.416,4.404,4.327,28.83584,2.9219e-12,189.05,25.62726,5.6117e-11,3630.8,21.10000,3.6308e-09,2.3491e+05
